Date,Open,Low,High,Close,Volume,Ticker
2013-05-13,14.01935349750674,14.019039618143022,14.217760610803321,14.119646072387695,316948800,AAPL
2013-05-14,14.092010080027908,13.72872412397732,14.133928176093443,13.781818389892578,447118000,AAPL
2013-05-15,13.635883542953351,13.114248299833513,13.693016027208857,13.315759658813477,741613600,AAPL
2013-05-16,13.14157026314675,13.006814738108277,13.59521353633971,13.49367904663086,603204000,AAPL
2013-05-17,13.63246860954449,13.382828266293425,13.664762377000644,13.452689170837402,427904400,AAPL
2013-05-20,13.410772505075112,13.354573951793297,13.842059167694238,13.752941131591797,451578400,AAPL
2013-05-21,13.604525836366825,13.481877775173128,13.832123558418788,13.651412963867188,456022000,AAPL
2013-05-22,13.787717263158406,13.606701496305883,13.921233458362627,13.703886032104492,443038400,AAPL
2013-05-23,13.536213770203817,13.531249428837821,13.853231760693705,13.728413581848145,353021200,AAPL
2013-05-24,13.688361141655434,13.67314485635718,13.83770907392112,13.821873664855957,276166800,AAPL
2013-05-28,13.969359849974273,13.688361663917094,14.006933913975043,13.706680297851562,386145200,AAPL
2013-05-29,13.661969259101047,13.643338874776076,13.89484504756758,13.815665245056152,330576400,AAPL
2013-05-30,13.837396959627796,13.802003823376545,14.112192542025324,14.021527290344238,353519600,AAPL
2013-05-31,14.050091161422722,13.956942563945386,14.192924376533174,13.964083671569824,384302800,AAPL
2013-06-03,13.995132593932466,13.738974812404475,14.04574580080333,13.994823455810547,372352400,AAPL
2013-06-04,14.072446302857479,13.891423761309534,14.11001619220277,13.951043128967285,292728800,AAPL
2013-06-05,13.837398494850994,13.77716001920897,13.994822314038384,13.820633888244629,290589600,AAPL
2013-06-06,13.831809475556605,13.47722141831147,13.87931764590311,13.614150047302246,416934000,AAPL
2013-06-07,13.553291221038002,13.437473498522087,13.76257038313514,13.718168258666992,404535600,AAPL
2013-06-10,13.808832090238925,13.562608680343894,13.943898616517044,13.627501487731934,450153200,AAPL
2013-06-11,13.529694518666902,13.454554699302912,13.747665138822054,13.587449073791504,286112400,AAPL
2013-06-12,13.646440618165832,13.39804054410506,13.700778952572428,13.419466972351074,265227200,AAPL
2013-06-13,13.429092891796996,13.312654145194193,13.573162736646763,13.53652572631836,285832400,AAPL
2013-06-14,13.519135910838877,13.304896397061945,13.546770558759082,13.353021621704102,271866000,AAPL
2013-06-17,13.39618001547962,13.362646156733426,13.52844952672236,13.413567543029785,259414400,AAPL
2013-06-18,13.399908116920823,13.357989093976736,13.503614772523234,13.406426429748535,195025600,AAPL
2013-06-19,13.394936773563176,13.13412094116211,13.403010911626717,13.13412094116211,310940000,AAPL
2013-06-20,13.01923397262746,12.890998698194656,13.22664251815676,12.942851066589355,357310800,AAPL
2013-06-21,12.994082696914134,12.671474462885982,13.040967774432653,12.839142799377441,481118400,AAPL
2013-06-24,12.649738321172432,12.359423011688394,12.688862257187086,12.498836517333984,480746000,AAPL
2013-06-25,12.596955114919563,12.38364275391447,12.661847904402128,12.501630783081055,314162800,AAPL
2013-06-26,12.541068031803137,12.285212741648314,12.56870075040629,12.360044479370117,367724000,AAPL
2013-06-27,12.396683140665948,12.219386789023446,12.46313290202243,12.226837158203125,337246000,AAPL
2013-06-28,12.151699191514105,12.074385286538496,12.428355237040865,12.312230110168457,578516400,AAPL
2013-07-01,12.503496804680708,12.457852777654198,12.800952425687235,12.706250190734863,391053600,AAPL
2013-07-02,12.729225707694217,12.71401411236935,13.09157786695709,12.994084358215332,469865200,AAPL
2013-07-03,13.067671334360849,12.961795352015082,13.133502646535616,13.06580924987793,240928800,AAPL
2013-07-05,13.0530784414195,12.896588454640641,13.143124730159688,12.960859298706055,274024800,AAPL
2013-07-08,13.044388519886205,12.750653332247067,13.072019448465687,12.887271881103516,298138400,AAPL
2013-07-09,12.84225051081513,12.74227086935222,13.149641499531569,13.113937377929688,352584400,AAPL
2013-07-10,13.028549847167515,12.986631779482796,13.190008893141295,13.063633918762207,281405600,AAPL
2013-07-11,13.13256515094828,13.077296680431015,13.29713115119645,13.267322540283203,326292400,AAPL
